level,TEMP,DEWP,STP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP,SNDP,FRSHTT,timestamp,TEMP_180,TEMP_30,DEWP_180,DEWP_30,STP_180,STP_30,VISIB_180,VISIB_30,WDSP_180,WDSP_30,MXSPD_180,MXSPD_30,MAX_180,MAX_30,MIN_180,MIN_30,PRCP_180,PRCP_30,SNDP_180,SNDP_30,delta
38.0,57.7,39.2,871.6,35.2,7.0,18.1,68.0,46.9,0.0,999.9,18,6232284,68.5,66.3,40.1,40.3,870.4,871.2,33.7,33.0,8.6,8.8,16.9,17.0,84.0,83.2,52.7,50.5,0.0,0.0,999.9,999.9,0.0
38.0,58.2,38.6,864.6,33.6,10.8,20.0,75.0,45.0,0.0,999.9,0,6233148,68.6,65.9,40.2,40.4,870.4,871.2,33.7,33.1,8.6,8.7,16.9,17.0,84.0,82.5,52.8,50.3,0.0,0.0,999.9,999.9,0.0
38.0,55.1,42.8,866.2,30.7,9.8,17.1,75.9,44.1,0.0,999.9,0,6234012,68.6,65.4,40.2,40.5,870.3,871.0,33.7,33.3,8.6,8.7,17.0,17.1,84.1,82.0,52.9,50.0,0.0,0.0,999.9,999.9,0.0
37.8,51.9,38.6,872.1,32.7,6.2,14.0,63.0,44.1,0.0,999.9,0,6234876,68.6,64.9,40.3,40.7,870.2,870.8,33.8,33.0,8.6,8.8,17.0,17.2,84.1,81.6,52.9,49.8,0.0,0.0,999.9,999.9,-0.20000000000000284
37.7,48.8,32.8,874.0,32.5,6.5,11.1,62.1,36.0,0.0,999.9,0,6235740,68.5,64.5,40.3,40.8,870.2,870.7,33.7,32.8,8.6,8.8,17.0,17.3,84.0,80.9,52.9,49.6,0.0,0.0,999.9,999.9,-0.09999999999999432
37.7,53.2,36.2,874.4,32.3,7.0,11.1,68.0,36.0,0.0,999.9,0,6236604,68.5,63.7,40.2,40.6,870.2,870.9,33.7,32.8,8.6,8.7,17.0,17.0,84.0,79.9,52.8,49.2,0.0,0.0,999.9,999.9,0.0
37.7,54.0,36.3,878.5,29.8,6.3,11.1,68.0,39.9,0.0,999.9,0,6237468,68.5,63.0,40.3,40.5,870.2,871.1,33.7,32.8,8.6,8.6,16.9,16.8,83.9,79.0,52.8,48.6,0.0,0.0,999.9,999.9,0.0
37.7,54.3,33.3,879.8,33.6,6.7,10.1,70.0,39.9,0.0,999.9,0,6238332,68.5,62.6,40.4,40.2,870.2,871.7,33.7,32.5,8.6,8.5,16.9,16.5,84.0,78.5,52.8,48.1,0.0,0.0,999.9,999.9,0.0
37.7,55.9,34.6,878.6,31.1,6.8,10.1,72.0,39.9,0.0,999.9,0,6239196,68.5,62.1,40.4,39.8,870.3,872.1,33.7,32.4,8.6,8.5,16.9,16.2,84.0,78.1,52.9,47.7,0.0,0.0,999.9,999.9,0.0
37.7,59.5,36.7,875.8,33.6,9.2,13.0,80.1,43.0,0.0,999.9,0,6240060,68.5,61.8,40.4,39.6,870.3,872.4,33.7,32.3,8.6,8.4,16.9,16.1,84.0,77.9,52.9,47.3,0.0,0.0,999.9,999.9,0.0
37.7,65.5,31.7,871.6,34.4,7.0,12.0,80.1,46.0,0.0,999.9,0,6240924,68.6,61.7,40.4,39.4,870.3,872.6,33.8,32.5,8.6,8.5,16.9,16.1,84.1,77.9,52.9,47.1,0.0,0.0,999.9,999.9,0.0
37.7,60.8,34.0,873.8,33.1,7.5,11.1,78.1,46.0,0.0,999.9,0,6241788,68.6,62.0,40.4,39.5,870.3,872.6,33.8,32.5,8.6,8.5,16.9,16.1,84.1,78.1,52.9,47.1,0.0,0.0,999.9,999.9,0.0
37.7,63.1,33.3,873.2,31.5,7.0,11.1,79.0,46.0,0.0,999.9,0,6242652,68.6,61.9,40.5,39.4,870.4,872.7,33.8,32.5,8.6,8.5,16.8,16.0,84.1,78.2,52.9,47.1,0.0,0.0,999.9,999.9,0.0
37.7,59.3,39.2,870.2,27.8,5.3,12.0,80.1,44.1,0.0,999.9,0,6243516,68.6,62.0,40.4,39.2,870.4,872.6,33.8,32.4,8.6,8.5,16.8,16.0,84.2,78.4,52.9,47.1,0.0,0.0,999.9,999.9,0.0
37.7,58.3,39.0,866.9,29.6,8.2,14.0,75.0,44.1,0.0,999.9,0,6244380,68.6,62.0,40.4,39.5,870.4,872.4,33.8,32.3,8.6,8.4,16.8,15.9,84.2,78.5,52.9,47.0,0.0,0.0,999.9,999.9,0.0
37.7,48.7,29.2,871.6,27.1,6.0,12.0,64.0,34.0,0.0,999.9,0,6245244,68.6,61.7,40.4,39.7,870.4,872.2,33.8,32.2,8.6,8.4,16.8,16.0,84.2,78.2,52.9,46.9,0.0,0.0,999.9,999.9,0.0
37.7,45.5,23.6,877.8,33.6,6.2,10.1,60.1,32.0,0.0,999.9,0,6246108,68.5,61.1,40.4,39.8,870.4,872.2,33.8,32.0,8.6,8.3,16.8,15.8,84.1,77.5,52.9,46.5,0.0,0.0,999.9,999.9,0.0
37.7,48.1,26.8,881.4,31.9,5.7,10.1,64.9,32.0,0.0,999.9,0,6246972,68.4,60.1,40.3,39.1,870.4,872.7,33.8,32.2,8.6,7.9,16.7,14.9,83.9,76.5,52.8,45.7,0.0,0.0,999.9,999.9,0.0
37.7,51.4,28.4,879.4,33.1,6.4,13.0,70.0,36.0,0.0,999.9,0,6247836,68.2,59.5,40.3,38.4,870.5,873.2,33.8,32.3,8.5,7.8,16.7,14.3,83.8,75.7,52.6,44.9,0.0,0.0,999.9,999.9,0.0
37.7,58.6,28.5,873.3,33.6,9.2,19.0,75.0,37.9,0.0,999.9,0,6248700,68.2,59.1,40.3,37.8,870.6,873.6,33.8,32.4,8.5,7.8,16.6,14.3,83.8,75.5,52.5,44.5,0.0,0.0,999.9,999.9,0.0
37.7,61.7,37.9,869.2,31.9,15.1,26.0,75.0,45.0,0.0,999.9,0,6249564,68.2,59.1,40.3,37.1,870.6,873.8,33.9,32.6,8.5,7.8,16.6,14.1,83.8,75.4,52.5,44.1,0.0,0.0,999.9,999.9,0.0
37.7,57.0,44.7,872.6,37.3,12.6,26.0,68.0,51.1,0.02,999.9,16,6250428,68.2,59.3,40.3,36.9,870.7,873.6,33.9,32.8,8.5,8.0,16.6,14.6,83.8,75.6,52.5,44.1,0.0,0.0,999.9,999.9,0.0
37.7,60.1,41.6,874.5,41.4,11.6,24.1,73.0,48.0,0.0,999.9,0,6251292,68.2,59.2,40.4,37.0,870.7,873.4,34.0,32.8,8.5,8.2,16.7,15.1,83.8,75.2,52.5,44.3,0.0,0.0,999.9,999.9,0.0
37.7,63.9,40.3,870.6,46.4,13.1,21.0,73.0,48.0,0.0,999.9,0,6252156,68.3,59.0,40.5,37.0,870.8,873.4,34.1,32.7,8.5,8.4,16.7,15.5,83.9,75.0,52.6,44.4,0.0,0.0,999.9,999.9,0.0
37.7,59.6,35.3,863.6,36.0,10.3,20.0,73.0,41.0,0.0,999.9,16,6253020,68.4,59.0,40.6,37.0,870.8,873.3,34.1,33.2,8.6,8.5,16.7,15.8,83.9,74.6,52.6,44.3,0.0,0.0,999.9,999.9,0.0
37.8,42.0,37.1,868.3,15.6,7.6,20.0,53.1,33.1,1.19,999.9,26,6253884,68.5,58.7,40.6,36.8,870.7,873.0,34.2,33.4,8.6,8.6,16.8,16.1,84.0,74.2,52.7,43.9,0.0,0.0,999.9,999.9,0.09999999999999432
37.7,44.9,31.2,872.6,32.7,11.1,17.1,57.0,33.1,0.13,999.9,0,6254748,68.4,57.7,40.6,36.5,870.7,872.8,34.1,32.7,8.6,8.5,16.8,16.0,84.0,73.1,52.7,43.3,0.0,0.0,999.9,999.9,-0.09999999999999432
37.8,38.6,30.2,872.8,22.5,9.2,22.0,57.0,30.9,0.6,0.4,24,6255612,68.4,56.8,40.7,35.9,870.7,872.8,34.0,32.8,8.6,8.5,16.8,15.7,84.0,72.1,52.6,42.3,0.0,0.0,999.9,999.9,0.09999999999999432
37.7,36.7,28.9,879.4,21.5,5.7,8.9,44.1,30.9,0.18,0.4,24,6256476,68.3,55.9,40.7,35.3,870.7,872.7,34.0,32.5,8.6,8.6,16.9,16.0,83.9,71.2,52.6,41.6,0.0,0.1,994.3,966.6,-0.09999999999999432
37.7,35.7,24.8,881.5,28.2,6.3,10.1,46.9,28.0,0.0,999.9,0,6257376,68.2,54.7,40.6,34.9,870.7,872.9,34.0,32.0,8.6,8.5,16.9,15.7,83.7,69.7,52.5,41.0,0.0,0.1,988.8,933.3,0.0
37.7,36.7,26.3,875.9,38.9,5.9,15.0,48.0,28.0,0.0,999.9,0,6258240,68.0,53.6,40.6,34.5,870.8,873.3,33.9,31.8,8.6,8.2,16.9,15.2,83.6,68.3,52.4,40.1,0.0,0.1,988.8,933.3,0.0
37.7,34.7,23.4,881.5,29.8,6.2,12.0,48.9,26.1,0.0,999.9,0,6259104,67.9,52.9,40.5,34.1,870.8,873.5,34.0,31.9,8.6,8.2,16.9,15.1,83.5,67.6,52.3,39.4,0.0,0.1,988.8,933.3,0.0
37.7,33.9,22.8,882.8,24.8,5.2,7.0,46.0,25.0,0.0,999.9,0,6259968,67.8,52.1,40.4,33.6,870.8,874.0,34.0,31.8,8.6,8.1,16.9,14.8,83.3,66.7,52.2,38.8,0.0,0.1,988.8,933.3,0.0
37.7,37.2,23.6,878.6,14.4,4.8,8.9,54.0,25.0,0.0,999.9,0,6260832,67.6,51.4,40.4,32.9,870.9,874.6,33.9,31.6,8.6,7.9,16.9,14.5,83.1,65.7,52.1,38.2,0.0,0.1,988.8,933.3,0.0
37.7,47.5,23.7,871.7,28.4,6.6,14.0,59.0,28.0,0.0,999.9,0,6261696,67.4,50.9,40.3,32.4,870.9,874.8,33.8,31.0,8.6,7.9,16.8,14.3,82.9,65.4,51.9,37.5,0.0,0.1,988.8,933.3,0.0
37.7,46.0,32.8,868.1,34.0,5.1,7.0,61.0,33.1,0.0,999.9,0,6262560,67.3,50.9,40.1,32.1,870.9,874.7,33.8,30.9,8.6,7.9,16.8,14.4,82.8,65.3,51.8,37.3,0.0,0.1,988.8,933.3,0.0
37.7,43.7,31.9,871.0,32.5,5.2,13.0,55.9,32.0,0.0,999.9,16,6263424,67.1,50.6,40.1,32.0,870.9,874.5,33.8,30.9,8.6,7.8,16.8,14.3,82.7,65.1,51.7,37.2,0.0,0.1,988.8,933.3,0.0
37.7,43.2,28.3,870.7,30.2,4.7,10.1,52.0,32.0,0.0,999.9,0,6264288,67.0,50.3,40.0,31.8,871.0,874.3,33.8,31.0,8.5,7.8,16.7,14.3,82.5,64.7,51.6,36.9,0.0,0.1,988.8,933.3,0.0
